MTU (CET/CEST);Day-ahead Price [EUR/MWh];Currency;BZN|DK1
06.01.2023 14:00 - 06.01.2023 15:00;11971;EUR;
06.01.2023 15:00 - 06.01.2023 16:00;12583;EUR;
06.01.2023 16:00 - 06.01.2023 17:00;13957;EUR;
06.01.2023 17:00 - 06.01.2023 18:00;15522;EUR;
06.01.2023 18:00 - 06.01.2023 19:00;15009;EUR;
06.01.2023 19:00 - 06.01.2023 20:00;14615;EUR;
06.01.2023 20:00 - 06.01.2023 21:00;13910;EUR;
06.01.2023 21:00 - 06.01.2023 22:00;13180;EUR;
06.01.2023 22:00 - 06.01.2023 23:00;12994;EUR;
06.01.2023 23:00 - 07.01.2023 00:00;12130;EUR;
07.01.2023 00:00 - 07.01.2023 01:00;9715;EUR;
07.01.2023 01:00 - 07.01.2023 02:00;9843;EUR;
07.01.2023 02:00 - 07.01.2023 03:00;9605;EUR;
07.01.2023 03:00 - 07.01.2023 04:00;8797;EUR;
07.01.2023 04:00 - 07.01.2023 05:00;8299;EUR;
07.01.2023 05:00 - 07.01.2023 06:00;8359;EUR;
07.01.2023 06:00 - 07.01.2023 07:00;9076;EUR;
07.01.2023 07:00 - 07.01.2023 08:00;10321;EUR;
07.01.2023 08:00 - 07.01.2023 09:00;11186;EUR;
07.01.2023 09:00 - 07.01.2023 10:00;11200;EUR;
07.01.2023 10:00 - 07.01.2023 11:00;10000;EUR;
07.01.2023 11:00 - 07.01.2023 12:00;8832;EUR;
07.01.2023 12:00 - 07.01.2023 13:00;8790;EUR;
07.01.2023 13:00 - 07.01.2023 14:00;9405;EUR;
07.01.2023 14:00 - 07.01.2023 15:00;8898;EUR;
07.01.2023 15:00 - 07.01.2023 16:00;8556;EUR;
07.01.2023 16:00 - 07.01.2023 17:00;9410;EUR;
07.01.2023 17:00 - 07.01.2023 18:00;9681;EUR;
07.01.2023 18:00 - 07.01.2023 19:00;9952;EUR;
07.01.2023 19:00 - 07.01.2023 20:00;9458;EUR;
07.01.2023 20:00 - 07.01.2023 21:00;8786;EUR;
07.01.2023 21:00 - 07.01.2023 22:00;6147;EUR;
07.01.2023 22:00 - 07.01.2023 23:00;5000;EUR;
07.01.2023 23:00 - 08.01.2023 00:00;3825;EUR;
08.01.2023 00:00 - 08.01.2023 01:00;1093;EUR;
08.01.2023 01:00 - 08.01.2023 02:00;907;EUR;
08.01.2023 02:00 - 08.01.2023 03:00;910;EUR;
08.01.2023 03:00 - 08.01.2023 04:00;416;EUR;
08.01.2023 04:00 - 08.01.2023 05:00;558;EUR;
08.01.2023 05:00 - 08.01.2023 06:00;992;EUR;
08.01.2023 06:00 - 08.01.2023 07:00;902;EUR;
08.01.2023 07:00 - 08.01.2023 08:00;1647;EUR;
08.01.2023 08:00 - 08.01.2023 09:00;4942;EUR;
08.01.2023 09:00 - 08.01.2023 10:00;8280;EUR;
08.01.2023 10:00 - 08.01.2023 11:00;9370;EUR;
08.01.2023 11:00 - 08.01.2023 12:00;10387;EUR;
08.01.2023 12:00 - 08.01.2023 13:00;10169;EUR;
08.01.2023 13:00 - 08.01.2023 14:00;9900;EUR;
08.01.2023 14:00 - 08.01.2023 15:00;10429;EUR;
08.01.2023 15:00 - 08.01.2023 16:00;10364;EUR;
08.01.2023 16:00 - 08.01.2023 17:00;10911;EUR;
08.01.2023 17:00 - 08.01.2023 18:00;11804;EUR;
08.01.2023 18:00 - 08.01.2023 19:00;12261;EUR;
08.01.2023 19:00 - 08.01.2023 20:00;10911;EUR;
08.01.2023 20:00 - 08.01.2023 21:00;10393;EUR;
08.01.2023 21:00 - 08.01.2023 22:00;9843;EUR;
08.01.2023 22:00 - 08.01.2023 23:00;9937;EUR;
08.01.2023 23:00 - 09.01.2023 00:00;8134;EUR;
09.01.2023 00:00 - 09.01.2023 01:00;7513;EUR;
09.01.2023 01:00 - 09.01.2023 02:00;6438;EUR;
09.01.2023 02:00 - 09.01.2023 03:00;6028;EUR;
09.01.2023 03:00 - 09.01.2023 04:00;3941;EUR;
09.01.2023 04:00 - 09.01.2023 05:00;4725;EUR;
09.01.2023 05:00 - 09.01.2023 06:00;6907;EUR;
09.01.2023 06:00 - 09.01.2023 07:00;10713;EUR;
09.01.2023 07:00 - 09.01.2023 08:00;16000;EUR;
09.01.2023 08:00 - 09.01.2023 09:00;18000;EUR;
09.01.2023 09:00 - 09.01.2023 10:00;17714;EUR;
09.01.2023 10:00 - 09.01.2023 11:00;15907;EUR;
09.01.2023 11:00 - 09.01.2023 12:00;16057;EUR;
09.01.2023 12:00 - 09.01.2023 13:00;14056;EUR;
09.01.2023 13:00 - 09.01.2023 14:00;13767;EUR;
09.01.2023 14:00 - 09.01.2023 15:00;14357;EUR;
09.01.2023 15:00 - 09.01.2023 16:00;15102;EUR;
09.01.2023 16:00 - 09.01.2023 17:00;16196;EUR;
09.01.2023 17:00 - 09.01.2023 18:00;17434;EUR;
