date,price
31.01.2023 00:00,90.43
31.01.2023 01:00,89.70
31.01.2023 02:00,92.97
31.01.2023 03:00,93.70
31.01.2023 04:00,94.62
31.01.2023 05:00,98.48
31.01.2023 06:00,104.16
31.01.2023 07:00,114.58
31.01.2023 08:00,115.01
31.01.2023 09:00,112.54
31.01.2023 10:00,108.85
31.01.2023 11:00,101.09
31.01.2023 12:00,97.70
31.01.2023 13:00,96.53
31.01.2023 14:00,93.25
31.01.2023 15:00,93.36
31.01.2023 16:00,93.68
31.01.2023 17:00,99.98
31.01.2023 18:00,99.09
31.01.2023 19:00,95.30
31.01.2023 20:00,90.05
31.01.2023 21:00,84.12
31.01.2023 22:00,86.10
31.01.2023 23:00,69.56
01.02.2023 00:00,79.94
01.02.2023 01:00,67.55
01.02.2023 02:00,65.69
01.02.2023 03:00,66.82
01.02.2023 04:00,57.59
01.02.2023 05:00,74.96
01.02.2023 06:00,95.98
01.02.2023 07:00,110.04
01.02.2023 08:00,117.00
01.02.2023 09:00,110.46
01.02.2023 10:00,105.03
01.02.2023 11:00,101.45
01.02.2023 12:00,99.34
01.02.2023 13:00,98.53
01.02.2023 14:00,95.97
01.02.2023 15:00,98.56
01.02.2023 16:00,102.69
01.02.2023 17:00,109.12
01.02.2023 18:00,108.90
01.02.2023 19:00,100.88
01.02.2023 20:00,97.65
01.02.2023 21:00,94.75
01.02.2023 22:00,86.42
01.02.2023 23:00,78.59
02.02.2023 00:00,74.30
02.02.2023 01:00,67.77
02.02.2023 02:00,71.35
02.02.2023 03:00,76.75
02.02.2023 04:00,88.55
02.02.2023 05:00,93.11
02.02.2023 06:00,116.21
02.02.2023 07:00,139.22
02.02.2023 08:00,169.87
02.02.2023 09:00,178.20
02.02.2023 10:00,170.09
02.02.2023 11:00,167.21
02.02.2023 12:00,156.86
02.02.2023 13:00,152.74
02.02.2023 14:00,161.44
02.02.2023 15:00,163.39
02.02.2023 16:00,167.28
02.02.2023 17:00,178.17
02.02.2023 18:00,183.12
02.02.2023 19:00,172.18
02.02.2023 20:00,142.09
02.02.2023 21:00,143.54
02.02.2023 22:00,130.15
02.02.2023 23:00,103.93
03.02.2023 00:00,108.30
03.02.2023 01:00,100.27
03.02.2023 02:00,93.82
03.02.2023 03:00,87.83
03.02.2023 04:00,84.03
03.02.2023 05:00,89.02
03.02.2023 06:00,100.27
03.02.2023 07:00,107.73
03.02.2023 08:00,108.44
03.02.2023 09:00,104.26
03.02.2023 10:00,97.13
03.02.2023 11:00,99.83
03.02.2023 12:00,99.04
03.02.2023 13:00,97.17
03.02.2023 14:00,97.41
03.02.2023 15:00,102.00
03.02.2023 16:00,107.72
03.02.2023 17:00,112.40
03.02.2023 18:00,113.52
03.02.2023 19:00,108.07
03.02.2023 20:00,103.70
03.02.2023 21:00,102.95
03.02.2023 22:00,113.19
03.02.2023 23:00,107.80
04.02.2023 00:00,99.36
04.02.2023 01:00,106.25
04.02.2023 02:00,113.15
04.02.2023 03:00,121.77
04.02.2023 04:00,125.38
04.02.2023 05:00,127.44
04.02.2023 06:00,137.34
04.02.2023 07:00,156.31
04.02.2023 08:00,164.19
04.02.2023 09:00,169.83
04.02.2023 10:00,164.11
04.02.2023 11:00,156.39
04.02.2023 12:00,148.84
04.02.2023 13:00,133.37
04.02.2023 14:00,134.09
04.02.2023 15:00,141.61
04.02.2023 16:00,155.36
04.02.2023 17:00,170.29
04.02.2023 18:00,184.16
04.02.2023 19:00,179.96
04.02.2023 20:00,167.88
